community_id,community_name,theme_label,suggested_sponsor_category,commercial_evidence_terms,commercial_score,commercial_confidence,post_count,engagement_score,positive_rate,negative_rate,top_segment_type,top_segment_value,top_segment_records,top_segment_engagement,recommendation_text
demo_shameless_community,Demo Shameless Community,reality tv villains,Tv Villains Reality Villains Reality Villains Villains Audience Fit,"tv villains reality, villains reality, villains, villains, reality tv",60.88,High,8,5.375,0.75,0.125,gender,female,4,21,"For Demo Shameless Community, 'reality tv villains' shows a data-derived Tv Villains Reality Villains Reality Villains Villains Audience Fit opportunity. It has 8 posts, an engagement score of 5.38, a positive rate of 75.0%, and strongest visible audience segment female (gender)."
demo_shameless_community,Demo Shameless Community,celebrity side hustles,Celebrity Hustles Circling Celebrity Hustles Hustles Celebrity Hustles Hustles Audience Fit,"celebrity hustles, circling celebrity hustles, hustles celebrity hustles, hustles, celebrity",56.0,Low,2,7.0,1.0,0.0,city,London,2,14,"For Demo Shameless Community, 'celebrity side hustles' shows a data-derived Celebrity Hustles Circling Celebrity Hustles Hustles Celebrity Hustles Hustles Audience Fit opportunity. It has 2 posts, an engagement score of 7.0, a positive rate of 100.0%, and strongest visible audience segment London (city)."
demo_shameless_community,Demo Shameless Community,comfort rewatches,Comfort Rewatches Comfort Rewatches Rewatches Rewatches Audience Fit,"comfort rewatches, comfort rewatches, rewatches, rewatches, comfort",55.33,High,6,5.166666666666666,1.0,0.0,gender,female,3,15,"For Demo Shameless Community, 'comfort rewatches' shows a data-derived Comfort Rewatches Comfort Rewatches Rewatches Rewatches Audience Fit opportunity. It has 6 posts, an engagement score of 5.17, a positive rate of 100.0%, and strongest visible audience segment female (gender)."
demo_shameless_community,Demo Shameless Community,microtrend fatigue,Microtrend Fatigue Microtrend Fatigue Microtrend Fatigue Fatigue Audience Fit,"microtrend fatigue, microtrend fatigue, microtrend fatigue, fatigue, fatigue",53.12,High,8,4.125,1.0,0.0,gender,non_binary,4,13,"For Demo Shameless Community, 'microtrend fatigue' shows a data-derived Microtrend Fatigue Microtrend Fatigue Microtrend Fatigue Fatigue Audience Fit opportunity. It has 8 posts, an engagement score of 4.12, a positive rate of 100.0%, and strongest visible audience segment non_binary (gender)."
demo_shameless_community,Demo Shameless Community,award season,Award Season Season Award Season Award Season Audience Fit,"award season, season, award season, award season",53.0,Low,2,6.5,1.0,0.0,gender,female,2,13,"For Demo Shameless Community, 'award season' shows a data-derived Award Season Season Award Season Award Season Audience Fit opportunity. It has 2 posts, an engagement score of 6.5, a positive rate of 100.0%, and strongest visible audience segment female (gender)."
demo_shameless_community,Demo Shameless Community,tabloid ethics,Tabloid Ethics Circling Circling Tabloid Ethics Tabloid Ethics Tabloid Ethics Tabloid Ethics Audience Fit,"tabloid ethics circling, circling tabloid ethics, tabloid ethics tabloid, ethics tabloid ethics, ethics circling tabloid, tabloid ethics",50.5,Low,1,7.0,1.0,0.0,city,Wellington,1,7,"For Demo Shameless Community, 'tabloid ethics' shows a data-derived Tabloid Ethics Circling Circling Tabloid Ethics Tabloid Ethics Tabloid Ethics Tabloid Ethics Audience Fit opportunity. It has 1 posts, an engagement score of 7.0, a positive rate of 100.0%, and strongest visible audience segment Wellington (city)."
demo_shameless_community,Demo Shameless Community,book to screen adaptations,Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit,"book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations",50.0,High,5,4.4,1.0,0.0,gender,female,2,16,"For Demo Shameless Community, 'book to screen adaptations' shows a data-derived Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit opportunity. It has 5 posts, an engagement score of 4.4, a positive rate of 100.0%, and strongest visible audience segment female (gender)."
demo_shameless_community,Demo Shameless Community,pr relationships,Pr Relationships Pr Relationships Relationships Pr Audience Fit,"pr relationships, pr relationships, relationships, pr",48.0,Medium,6,3.5,1.0,0.0,gender,female,5,17,"For Demo Shameless Community, 'pr relationships' shows a data-derived Pr Relationships Pr Relationships Relationships Pr Audience Fit opportunity. It has 6 posts, an engagement score of 3.5, a positive rate of 100.0%, and strongest visible audience segment female (gender)."
demo_shameless_community,Demo Shameless Community,movie press tours,Movie Press Tours Press Tours Movie Press Tours Movie Audience Fit,"movie press tours, press tours, movie press, tours movie, tours",47.5,High,5,4.6,0.8,0.0,industry,Healthcare,2,13,"For Demo Shameless Community, 'movie press tours' shows a data-derived Movie Press Tours Press Tours Movie Press Tours Movie Audience Fit opportunity. It has 5 posts, an engagement score of 4.6, a positive rate of 80.0%, and strongest visible audience segment Healthcare (industry)."
demo_shameless_community,Demo Shameless Community,nepo baby,Nepo Baby Nepo Baby Nepo Baby Nepo Baby Audience Fit,"nepo baby, nepo baby, nepo baby nepo, baby, nepo",45.0,Medium,5,3.8000000000000003,1.0,0.0,city,London,3,12,"For Demo Shameless Community, 'nepo baby' shows a data-derived Nepo Baby Nepo Baby Nepo Baby Nepo Baby Audience Fit opportunity. It has 5 posts, an engagement score of 3.8, a positive rate of 100.0%, and strongest visible audience segment London (city)."
demo_shameless_community,Demo Shameless Community,brand founder scandals,Brand Founder Scandals Founder Scandals Brand Scandals Brand Founder Founder Scandals Audience Fit,"brand founder scandals, founder scandals brand, scandals brand founder, founder scandals, scandals brand, scandals",45.0,Low,1,6.0,1.0,0.0,city,Adelaide,1,6,"For Demo Shameless Community, 'brand founder scandals' shows a data-derived Brand Founder Scandals Founder Scandals Brand Scandals Brand Founder Founder Scandals Audience Fit opportunity. It has 1 posts, an engagement score of 6.0, a positive rate of 100.0%, and strongest visible audience segment Adelaide (city)."
demo_shameless_community,Demo Shameless Community,internet overexposure,Internet Overexposure Internet Overexposure Internet Overexposure Internet Overexposure Audience Fit,"internet overexposure, internet overexposure, internet overexposure, internet overexposure, internet, circling internet",42.0,Medium,4,4.0,1.0,0.0,city,London,2,8,"For Demo Shameless Community, 'internet overexposure' shows a data-derived Internet Overexposure Internet Overexposure Internet Overexposure Internet Overexposure Audience Fit opportunity. It has 4 posts, an engagement score of 4.0, a positive rate of 100.0%, and strongest visible audience segment London (city)."
demo_shameless_community,Demo Shameless Community,celebrity memoirs,Celebrity Memoirs Celebrity Memoirs Memoirs Celebrity Memoirs Celebrity Memoirs Audience Fit,"celebrity memoirs, celebrity memoirs, memoirs celebrity memoirs, celebrity memoirs, celebrity memoirs celebrity, memoirs",41.0,Low,2,4.5,1.0,0.0,industry,Healthcare,2,9,"For Demo Shameless Community, 'celebrity memoirs' shows a data-derived Celebrity Memoirs Celebrity Memoirs Memoirs Celebrity Memoirs Celebrity Memoirs Audience Fit opportunity. It has 2 posts, an engagement score of 4.5, a positive rate of 100.0%, and strongest visible audience segment Healthcare (industry)."
demo_shameless_community,Demo Shameless Community,poll you like guest more,Poll Like Guest Guest Poll Guest Host Chats Audience Fit,"poll like guest, guest poll, guest, host chats, like guest, host",39.5,Low,1,5.0,1.0,0.0,city,Newcastle,1,5,"For Demo Shameless Community, 'poll you like guest more' shows a data-derived Poll Like Guest Guest Poll Guest Host Chats Audience Fit opportunity. It has 1 posts, an engagement score of 5.0, a positive rate of 100.0%, and strongest visible audience segment Newcastle (city)."
demo_shameless_community,Demo Shameless Community,wellness rebrands,Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Audience Fit,"wellness rebrands, wellness rebrands, wellness rebrands wellness, rebrands wellness rebrands, wellness rebrands, rebrands",39.5,Low,1,5.0,1.0,0.0,city,Sydney,1,5,"For Demo Shameless Community, 'wellness rebrands' shows a data-derived Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Audience Fit opportunity. It has 1 posts, an engagement score of 5.0, a positive rate of 100.0%, and strongest visible audience segment Sydney (city)."
demo_shameless_community,Demo Shameless Community,sad girl pop,Pop Circling Sad Sad Girl Pop Girl Pop Sad Girl Audience Fit,"pop circling sad, sad girl pop, girl pop, sad girl",39.0,High,5,4.2,0.4,0.4,gender,non_binary,3,8,"For Demo Shameless Community, 'sad girl pop' shows a data-derived Pop Circling Sad Sad Girl Pop Girl Pop Sad Girl Audience Fit opportunity. It has 5 posts, an engagement score of 4.2, a positive rate of 40.0%, and strongest visible audience segment non_binary (gender)."
