community_id,community_name,theme_label,sponsor_category,commercial_intent_records,brand_relevance_records,brand_safety_risk_records,brand_safety_risk_rate,commercial_intent_terms,top_evidence_terms
demo_shameless_community,Demo Shameless Community,reality tv villains,Tv Villains Reality Villains Reality Villains Villains Audience Fit,8,4,1,12.5,"tv villains reality, villains reality, villains, villains, reality tv","tv villains reality, villains reality, villains, villains, reality tv"
demo_shameless_community,Demo Shameless Community,microtrend fatigue,Microtrend Fatigue Microtrend Fatigue Microtrend Fatigue Fatigue Audience Fit,8,4,0,0.0,"microtrend fatigue, microtrend fatigue, microtrend fatigue, fatigue, fatigue","microtrend fatigue, microtrend fatigue, microtrend fatigue, fatigue, fatigue"
demo_shameless_community,Demo Shameless Community,comfort rewatches,Comfort Rewatches Comfort Rewatches Rewatches Rewatches Audience Fit,6,3,0,0.0,"comfort rewatches, comfort rewatches, rewatches, rewatches, comfort","comfort rewatches, comfort rewatches, rewatches, rewatches, comfort"
demo_shameless_community,Demo Shameless Community,book to screen adaptations,Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit,5,2,0,0.0,"book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations","book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations"
demo_shameless_community,Demo Shameless Community,pr relationships,Pr Relationships Pr Relationships Relationships Pr Audience Fit,6,5,0,0.0,"pr relationships, pr relationships, relationships, pr","pr relationships, pr relationships, relationships, pr"
demo_shameless_community,Demo Shameless Community,movie press tours,Movie Press Tours Press Tours Movie Press Tours Movie Audience Fit,5,2,0,0.0,"movie press tours, press tours, movie press, tours movie, tours","movie press tours, press tours, movie press, tours movie, tours"
demo_shameless_community,Demo Shameless Community,celebrity side hustles,Celebrity Hustles Circling Celebrity Hustles Hustles Celebrity Hustles Hustles Audience Fit,2,2,0,0.0,"celebrity hustles, circling celebrity hustles, hustles celebrity hustles, hustles, celebrity","celebrity hustles, circling celebrity hustles, hustles celebrity hustles, hustles, celebrity"
demo_shameless_community,Demo Shameless Community,nepo baby,Nepo Baby Nepo Baby Nepo Baby Nepo Baby Audience Fit,5,3,0,0.0,"nepo baby, nepo baby, nepo baby nepo, baby, nepo","nepo baby, nepo baby, nepo baby nepo, baby, nepo"
demo_shameless_community,Demo Shameless Community,award season,Award Season Season Award Season Award Season Audience Fit,2,2,0,0.0,"award season, season, award season, award season","award season, season, award season, award season"
demo_shameless_community,Demo Shameless Community,internet overexposure,Internet Overexposure Internet Overexposure Internet Overexposure Internet Overexposure Audience Fit,4,2,0,0.0,"internet overexposure, internet overexposure, internet overexposure, internet overexposure, internet, circling internet","internet overexposure, internet overexposure, internet overexposure, internet overexposure, internet, circling internet"
demo_shameless_community,Demo Shameless Community,tabloid ethics,Tabloid Ethics Circling Circling Tabloid Ethics Tabloid Ethics Tabloid Ethics Tabloid Ethics Audience Fit,1,1,0,0.0,"tabloid ethics circling, circling tabloid ethics, tabloid ethics tabloid, ethics tabloid ethics, ethics circling tabloid, tabloid ethics","tabloid ethics circling, circling tabloid ethics, tabloid ethics tabloid, ethics tabloid ethics, ethics circling tabloid, tabloid ethics"
demo_shameless_community,Demo Shameless Community,celebrity memoirs,Celebrity Memoirs Celebrity Memoirs Memoirs Celebrity Memoirs Celebrity Memoirs Audience Fit,2,2,0,0.0,"celebrity memoirs, celebrity memoirs, memoirs celebrity memoirs, celebrity memoirs, celebrity memoirs celebrity, memoirs","celebrity memoirs, celebrity memoirs, memoirs celebrity memoirs, celebrity memoirs, celebrity memoirs celebrity, memoirs"
demo_shameless_community,Demo Shameless Community,brand founder scandals,Brand Founder Scandals Founder Scandals Brand Scandals Brand Founder Founder Scandals Audience Fit,1,1,0,0.0,"brand founder scandals, founder scandals brand, scandals brand founder, founder scandals, scandals brand, scandals","brand founder scandals, founder scandals brand, scandals brand founder, founder scandals, scandals brand, scandals"
demo_shameless_community,Demo Shameless Community,girlboss backlash,Girlboss Backlash Girlboss Backlash Girlboss Backlash Girlboss Backlash Audience Fit,4,2,0,0.0,"girlboss backlash, girlboss backlash, girlboss backlash, girlboss backlash, backlash, backlash","girlboss backlash, girlboss backlash, girlboss backlash, girlboss backlash, backlash, backlash"
demo_shameless_community,Demo Shameless Community,sad girl pop,Pop Circling Sad Sad Girl Pop Girl Pop Sad Girl Audience Fit,5,3,2,40.0,"pop circling sad, sad girl pop, girl pop, sad girl","pop circling sad, sad girl pop, girl pop, sad girl"
demo_shameless_community,Demo Shameless Community,poll you like guest more,Poll Like Guest Guest Poll Guest Host Chats Audience Fit,1,1,0,0.0,"poll like guest, guest poll, guest, host chats, like guest, host","poll like guest, guest poll, guest, host chats, like guest, host"
demo_shameless_community,Demo Shameless Community,wellness rebrands,Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Audience Fit,1,1,0,0.0,"wellness rebrands, wellness rebrands, wellness rebrands wellness, rebrands wellness rebrands, wellness rebrands, rebrands","wellness rebrands, wellness rebrands, wellness rebrands wellness, rebrands wellness rebrands, wellness rebrands, rebrands"
demo_shameless_community,Demo Shameless Community,cancelled tours,Cancelled Tours Cancelled Tours Cancelled Cancelled Tours Cancelled Tours Audience Fit,3,1,0,0.0,"cancelled tours, cancelled tours cancelled, cancelled tours, cancelled tours, tours, cancelled","cancelled tours, cancelled tours cancelled, cancelled tours, cancelled tours, tours, cancelled"
demo_shameless_community,Demo Shameless Community,have redemption arcs,Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit,1,1,0,0.0,"redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, arcs redemption arcs, redemption","redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, arcs redemption arcs, redemption"
demo_shameless_community,Demo Shameless Community,redemption arcs,Redemption Arcs Redemption Arcs Redemption Arcs Redemption Arcs Redemption Audience Fit,1,1,0,0.0,"redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, redemption arcs, arcs redemption arcs","redemption arcs, redemption arcs, redemption arcs, redemption arcs redemption, redemption arcs, arcs redemption arcs"
demo_shameless_community,Demo Shameless Community,the fame fatigue chat,Fame Fatigue Chat Fame Fatigue Fame Fatigue Fatigue Chat Audience Fit,1,1,0,0.0,"fame fatigue chat, fame fatigue, fame fatigue, fatigue chat, fame, chat fame","fame fatigue chat, fame fatigue, fame fatigue, fatigue chat, fame, chat fame"
demo_shameless_community,Demo Shameless Community,guest,Guest Guest Guest Guest Guest Audience Fit,2,1,0,0.0,"guest, guest, guest, guest guest","guest, guest, guest, guest guest"
demo_shameless_community,Demo Shameless Community,parasocial friendship,Parasocial Friendship Parasocial Friendship Parasocial Friendship Parasocial Friendship Friendship Parasocial Audience Fit,3,2,0,0.0,"parasocial friendship parasocial, friendship parasocial friendship, parasocial friendship, friendship parasocial, friendship","parasocial friendship parasocial, friendship parasocial friendship, parasocial friendship, friendship parasocial, friendship"
