community_id,community_name,theme_label,sponsor_category,activation_type,activation_idea
demo_shameless_community,Demo Shameless Community,reality tv villains,Tv Villains Reality Villains Reality Villains Villains Audience Fit,Community prompt,Run a discussion prompt around 'reality tv villains' and measure reply quality.
demo_shameless_community,Demo Shameless Community,reality tv villains,Tv Villains Reality Villains Reality Villains Villains Audience Fit,Content segment,Turn the strongest evidence for 'reality tv villains' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,reality tv villains,Tv Villains Reality Villains Reality Villains Villains Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'reality tv villains'.
demo_shameless_community,Demo Shameless Community,microtrend fatigue,Microtrend Fatigue Microtrend Fatigue Microtrend Fatigue Fatigue Audience Fit,Community prompt,Run a discussion prompt around 'microtrend fatigue' and measure reply quality.
demo_shameless_community,Demo Shameless Community,microtrend fatigue,Microtrend Fatigue Microtrend Fatigue Microtrend Fatigue Fatigue Audience Fit,Content segment,Turn the strongest evidence for 'microtrend fatigue' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,microtrend fatigue,Microtrend Fatigue Microtrend Fatigue Microtrend Fatigue Fatigue Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'microtrend fatigue'.
demo_shameless_community,Demo Shameless Community,comfort rewatches,Comfort Rewatches Comfort Rewatches Rewatches Rewatches Audience Fit,Community prompt,Run a discussion prompt around 'comfort rewatches' and measure reply quality.
demo_shameless_community,Demo Shameless Community,comfort rewatches,Comfort Rewatches Comfort Rewatches Rewatches Rewatches Audience Fit,Content segment,Turn the strongest evidence for 'comfort rewatches' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,comfort rewatches,Comfort Rewatches Comfort Rewatches Rewatches Rewatches Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'comfort rewatches'.
demo_shameless_community,Demo Shameless Community,book to screen adaptations,Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit,Community prompt,Run a discussion prompt around 'book to screen adaptations' and measure reply quality.
demo_shameless_community,Demo Shameless Community,book to screen adaptations,Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit,Content segment,Turn the strongest evidence for 'book to screen adaptations' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,book to screen adaptations,Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'book to screen adaptations'.
demo_shameless_community,Demo Shameless Community,pr relationships,Pr Relationships Pr Relationships Relationships Pr Audience Fit,Community prompt,Run a discussion prompt around 'pr relationships' and measure reply quality.
demo_shameless_community,Demo Shameless Community,pr relationships,Pr Relationships Pr Relationships Relationships Pr Audience Fit,Content segment,Turn the strongest evidence for 'pr relationships' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,pr relationships,Pr Relationships Pr Relationships Relationships Pr Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'pr relationships'.
demo_shameless_community,Demo Shameless Community,movie press tours,Movie Press Tours Press Tours Movie Press Tours Movie Audience Fit,Community prompt,Run a discussion prompt around 'movie press tours' and measure reply quality.
demo_shameless_community,Demo Shameless Community,movie press tours,Movie Press Tours Press Tours Movie Press Tours Movie Audience Fit,Content segment,Turn the strongest evidence for 'movie press tours' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,movie press tours,Movie Press Tours Press Tours Movie Press Tours Movie Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'movie press tours'.
demo_shameless_community,Demo Shameless Community,celebrity side hustles,Celebrity Hustles Circling Celebrity Hustles Hustles Celebrity Hustles Hustles Audience Fit,Community prompt,Run a discussion prompt around 'celebrity side hustles' and measure reply quality.
demo_shameless_community,Demo Shameless Community,celebrity side hustles,Celebrity Hustles Circling Celebrity Hustles Hustles Celebrity Hustles Hustles Audience Fit,Content segment,Turn the strongest evidence for 'celebrity side hustles' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,celebrity side hustles,Celebrity Hustles Circling Celebrity Hustles Hustles Celebrity Hustles Hustles Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'celebrity side hustles'.
demo_shameless_community,Demo Shameless Community,nepo baby,Nepo Baby Nepo Baby Nepo Baby Nepo Baby Audience Fit,Community prompt,Run a discussion prompt around 'nepo baby' and measure reply quality.
demo_shameless_community,Demo Shameless Community,nepo baby,Nepo Baby Nepo Baby Nepo Baby Nepo Baby Audience Fit,Content segment,Turn the strongest evidence for 'nepo baby' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,nepo baby,Nepo Baby Nepo Baby Nepo Baby Nepo Baby Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'nepo baby'.
demo_shameless_community,Demo Shameless Community,award season,Award Season Season Award Season Award Season Audience Fit,Community prompt,Run a discussion prompt around 'award season' and measure reply quality.
demo_shameless_community,Demo Shameless Community,award season,Award Season Season Award Season Award Season Audience Fit,Content segment,Turn the strongest evidence for 'award season' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,award season,Award Season Season Award Season Award Season Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'award season'.
demo_shameless_community,Demo Shameless Community,internet overexposure,Internet Overexposure Internet Overexposure Internet Overexposure Internet Overexposure Audience Fit,Community prompt,Run a discussion prompt around 'internet overexposure' and measure reply quality.
demo_shameless_community,Demo Shameless Community,internet overexposure,Internet Overexposure Internet Overexposure Internet Overexposure Internet Overexposure Audience Fit,Content segment,Turn the strongest evidence for 'internet overexposure' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,internet overexposure,Internet Overexposure Internet Overexposure Internet Overexposure Internet Overexposure Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'internet overexposure'.
demo_shameless_community,Demo Shameless Community,tabloid ethics,Tabloid Ethics Circling Circling Tabloid Ethics Tabloid Ethics Tabloid Ethics Tabloid Ethics Audience Fit,Community prompt,Run a discussion prompt around 'tabloid ethics' and measure reply quality.
demo_shameless_community,Demo Shameless Community,tabloid ethics,Tabloid Ethics Circling Circling Tabloid Ethics Tabloid Ethics Tabloid Ethics Tabloid Ethics Audience Fit,Content segment,Turn the strongest evidence for 'tabloid ethics' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,tabloid ethics,Tabloid Ethics Circling Circling Tabloid Ethics Tabloid Ethics Tabloid Ethics Tabloid Ethics Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'tabloid ethics'.
demo_shameless_community,Demo Shameless Community,celebrity memoirs,Celebrity Memoirs Celebrity Memoirs Memoirs Celebrity Memoirs Celebrity Memoirs Audience Fit,Community prompt,Run a discussion prompt around 'celebrity memoirs' and measure reply quality.
demo_shameless_community,Demo Shameless Community,celebrity memoirs,Celebrity Memoirs Celebrity Memoirs Memoirs Celebrity Memoirs Celebrity Memoirs Audience Fit,Content segment,Turn the strongest evidence for 'celebrity memoirs' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,celebrity memoirs,Celebrity Memoirs Celebrity Memoirs Memoirs Celebrity Memoirs Celebrity Memoirs Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'celebrity memoirs'.
demo_shameless_community,Demo Shameless Community,brand founder scandals,Brand Founder Scandals Founder Scandals Brand Scandals Brand Founder Founder Scandals Audience Fit,Community prompt,Run a discussion prompt around 'brand founder scandals' and measure reply quality.
demo_shameless_community,Demo Shameless Community,brand founder scandals,Brand Founder Scandals Founder Scandals Brand Scandals Brand Founder Founder Scandals Audience Fit,Content segment,Turn the strongest evidence for 'brand founder scandals' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,brand founder scandals,Brand Founder Scandals Founder Scandals Brand Scandals Brand Founder Founder Scandals Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'brand founder scandals'.
demo_shameless_community,Demo Shameless Community,girlboss backlash,Girlboss Backlash Girlboss Backlash Girlboss Backlash Girlboss Backlash Audience Fit,Community prompt,Run a discussion prompt around 'girlboss backlash' and measure reply quality.
demo_shameless_community,Demo Shameless Community,girlboss backlash,Girlboss Backlash Girlboss Backlash Girlboss Backlash Girlboss Backlash Audience Fit,Content segment,Turn the strongest evidence for 'girlboss backlash' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,girlboss backlash,Girlboss Backlash Girlboss Backlash Girlboss Backlash Girlboss Backlash Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'girlboss backlash'.
demo_shameless_community,Demo Shameless Community,sad girl pop,Pop Circling Sad Sad Girl Pop Girl Pop Sad Girl Audience Fit,Community prompt,Run a discussion prompt around 'sad girl pop' and measure reply quality.
demo_shameless_community,Demo Shameless Community,sad girl pop,Pop Circling Sad Sad Girl Pop Girl Pop Sad Girl Audience Fit,Content segment,Turn the strongest evidence for 'sad girl pop' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,sad girl pop,Pop Circling Sad Sad Girl Pop Girl Pop Sad Girl Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'sad girl pop'.
demo_shameless_community,Demo Shameless Community,poll you like guest more,Poll Like Guest Guest Poll Guest Host Chats Audience Fit,Community prompt,Run a discussion prompt around 'poll you like guest more' and measure reply quality.
demo_shameless_community,Demo Shameless Community,poll you like guest more,Poll Like Guest Guest Poll Guest Host Chats Audience Fit,Content segment,Turn the strongest evidence for 'poll you like guest more' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,poll you like guest more,Poll Like Guest Guest Poll Guest Host Chats Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'poll you like guest more'.
demo_shameless_community,Demo Shameless Community,wellness rebrands,Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Audience Fit,Community prompt,Run a discussion prompt around 'wellness rebrands' and measure reply quality.
demo_shameless_community,Demo Shameless Community,wellness rebrands,Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Audience Fit,Content segment,Turn the strongest evidence for 'wellness rebrands' into a sponsored content segment.
demo_shameless_community,Demo Shameless Community,wellness rebrands,Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Wellness Rebrands Audience Fit,Audience validation,Test a low-risk recommendation or offer with the audience segment attached to 'wellness rebrands'.
demo_shameless_community,Demo Shameless Community,cancelled tours,Cancelled Tours Cancelled Tours Cancelled Cancelled Tours Cancelled Tours Audience Fit,Community prompt,Run a discussion prompt around 'cancelled tours' and measure reply quality.
