community_id,community_name,theme_label,sponsor_category,commercial_evidence_terms,commercial_score,commercial_confidence,post_count,engagement_score,positive_rate,negative_rate,top_segment_type,top_segment_value,top_segment_records,top_segment_engagement,recommendation_text,audience_interest_score,commercial_intent_score,brand_relevance_score,brand_safety_score,brand_safety_risk_rate,brand_safety_label,confidence_label,sponsor_fit_score,priority_label,commercial_intent_records,brand_relevance_records,brand_safety_risk_records,top_evidence_terms,commercial_intent_terms,matched_keywords
demo_shameless_community,Demo Shameless Community,reality tv villains,Tv Villains Reality Villains Reality Villains Villains Audience Fit,"tv villains reality, villains reality, villains, villains, reality tv",60.88,High,8,5.375,0.75,0.125,gender,female,4,21,"For Demo Shameless Community, 'reality tv villains' shows a data-derived Tv Villains Reality Villains Reality Villains Villains Audience Fit opportunity. It has 8 posts, an engagement score of 5.38, a positive rate of 75.0%, and strongest visible audience segment female (gender).",91.9,100.0,76.5,87.5,12.5,Sponsor safe,High,90.6,High,8,4,1,"tv villains reality, villains reality, villains, villains, reality tv","tv villains reality, villains reality, villains, villains, reality tv",
demo_shameless_community,Demo Shameless Community,microtrend fatigue,Microtrend Fatigue Microtrend Fatigue Microtrend Fatigue Fatigue Audience Fit,"microtrend fatigue, microtrend fatigue, microtrend fatigue, fatigue, fatigue",53.12,High,8,4.125,1.0,0.0,gender,non_binary,4,13,"For Demo Shameless Community, 'microtrend fatigue' shows a data-derived Microtrend Fatigue Microtrend Fatigue Microtrend Fatigue Fatigue Audience Fit opportunity. It has 8 posts, an engagement score of 4.12, a positive rate of 100.0%, and strongest visible audience segment non_binary (gender).",74.2,91.1,94.0,100.0,0.0,Sponsor safe,High,87.1,High,8,4,0,"microtrend fatigue, microtrend fatigue, microtrend fatigue, fatigue, fatigue","microtrend fatigue, microtrend fatigue, microtrend fatigue, fatigue, fatigue",
demo_shameless_community,Demo Shameless Community,comfort rewatches,Comfort Rewatches Comfort Rewatches Rewatches Rewatches Audience Fit,"comfort rewatches, comfort rewatches, rewatches, rewatches, comfort",55.33,High,6,5.166666666666666,1.0,0.0,gender,female,3,15,"For Demo Shameless Community, 'comfort rewatches' shows a data-derived Comfort Rewatches Comfort Rewatches Rewatches Rewatches Audience Fit opportunity. It has 6 posts, an engagement score of 5.17, a positive rate of 100.0%, and strongest visible audience segment female (gender).",73.5,93.6,88.0,100.0,0.0,Sponsor safe,High,86.4,High,6,3,0,"comfort rewatches, comfort rewatches, rewatches, rewatches, comfort","comfort rewatches, comfort rewatches, rewatches, rewatches, comfort",
demo_shameless_community,Demo Shameless Community,book to screen adaptations,Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit,"book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations",50.0,High,5,4.4,1.0,0.0,gender,female,2,16,"For Demo Shameless Community, 'book to screen adaptations' shows a data-derived Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit opportunity. It has 5 posts, an engagement score of 4.4, a positive rate of 100.0%, and strongest visible audience segment female (gender).",66.8,87.5,82.0,100.0,0.0,Sponsor safe,High,81.0,High,5,2,0,"book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations","book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations",
demo_shameless_community,Demo Shameless Community,pr relationships,Pr Relationships Pr Relationships Relationships Pr Audience Fit,"pr relationships, pr relationships, relationships, pr",48.0,Medium,6,3.5,1.0,0.0,gender,female,5,17,"For Demo Shameless Community, 'pr relationships' shows a data-derived Pr Relationships Pr Relationships Relationships Pr Audience Fit opportunity. It has 6 posts, an engagement score of 3.5, a positive rate of 100.0%, and strongest visible audience segment female (gender).",68.0,73.2,100.0,100.0,0.0,Sponsor safe,Medium,80.8,High,6,5,0,"pr relationships, pr relationships, relationships, pr","pr relationships, pr relationships, relationships, pr",
demo_shameless_community,Demo Shameless Community,movie press tours,Movie Press Tours Press Tours Movie Press Tours Movie Audience Fit,"movie press tours, press tours, movie press, tours movie, tours",47.5,High,5,4.6,0.8,0.0,industry,Healthcare,2,13,"For Demo Shameless Community, 'movie press tours' shows a data-derived Movie Press Tours Press Tours Movie Press Tours Movie Audience Fit opportunity. It has 5 posts, an engagement score of 4.6, a positive rate of 80.0%, and strongest visible audience segment Healthcare (industry).",63.4,84.6,68.0,100.0,0.0,Sponsor safe,High,76.2,High,5,2,0,"movie press tours, press tours, movie press, tours movie, tours","movie press tours, press tours, movie press, tours movie, tours",
demo_shameless_community,Demo Shameless Community,celebrity side hustles,Celebrity Hustles Circling Celebrity Hustles Hustles Celebrity Hustles Hustles Audience Fit,"celebrity hustles, circling celebrity hustles, hustles celebrity hustles, hustles, celebrity",56.0,Low,2,7.0,1.0,0.0,city,London,2,14,"For Demo Shameless Community, 'celebrity side hustles' shows a data-derived Celebrity Hustles Circling Celebrity Hustles Hustles Celebrity Hustles Hustles Audience Fit opportunity. It has 2 posts, an engagement score of 7.0, a positive rate of 100.0%, and strongest visible audience segment London (city).",63.8,73.4,82.0,100.0,0.0,Sponsor safe,Low,75.8,High,2,2,0,"celebrity hustles, circling celebrity hustles, hustles celebrity hustles, hustles, celebrity","celebrity hustles, circling celebrity hustles, hustles celebrity hustles, hustles, celebrity",
demo_shameless_community,Demo Shameless Community,nepo baby,Nepo Baby Nepo Baby Nepo Baby Nepo Baby Audience Fit,"nepo baby, nepo baby, nepo baby nepo, baby, nepo",45.0,Medium,5,3.8000000000000003,1.0,0.0,city,London,3,12,"For Demo Shameless Community, 'nepo baby' shows a data-derived Nepo Baby Nepo Baby Nepo Baby Nepo Baby Audience Fit opportunity. It has 5 posts, an engagement score of 3.8, a positive rate of 100.0%, and strongest visible audience segment London (city).",58.0,69.7,88.0,100.0,0.0,Sponsor safe,Medium,73.8,High,5,3,0,"nepo baby, nepo baby, nepo baby nepo, baby, nepo","nepo baby, nepo baby, nepo baby nepo, baby, nepo",
demo_shameless_community,Demo Shameless Community,award season,Award Season Season Award Season Award Season Audience Fit,"award season, season, award season, award season",53.0,Low,2,6.5,1.0,0.0,gender,female,2,13,"For Demo Shameless Community, 'award season' shows a data-derived Award Season Season Award Season Award Season Audience Fit opportunity. It has 2 posts, an engagement score of 6.5, a positive rate of 100.0%, and strongest visible audience segment female (gender).",59.8,70.0,82.0,100.0,0.0,Sponsor safe,Low,73.3,High,2,2,0,"award season, season, award season, award season","award season, season, award season, award season",
demo_shameless_community,Demo Shameless Community,internet overexposure,Internet Overexposure Internet Overexposure Internet Overexposure Internet Overexposure Audience Fit,"internet overexposure, internet overexposure, internet overexposure, internet overexposure, internet, circling internet",42.0,Medium,4,4.0,1.0,0.0,city,London,2,8,"For Demo Shameless Community, 'internet overexposure' shows a data-derived Internet Overexposure Internet Overexposure Internet Overexposure Internet Overexposure Audience Fit opportunity. It has 4 posts, an engagement score of 4.0, a positive rate of 100.0%, and strongest visible audience segment London (city).",48.9,66.3,82.0,100.0,0.0,Sponsor safe,Medium,68.4,Medium,4,2,0,"internet overexposure, internet overexposure, internet overexposure, internet overexposure, internet, circling internet","internet overexposure, internet overexposure, internet overexposure, internet overexposure, internet, circling internet",
