community_id,community_name,theme_label,sponsor_category,audience_interest_score,commercial_intent_score,brand_relevance_score,brand_safety_score,sponsor_fit_score,priority_label,confidence_label,brand_safety_label,opportunity_summary,recommended_commercial_action,top_evidence_terms,commercial_intent_terms,post_count,engagement_score,commercial_intent_records,brand_relevance_records,brand_safety_risk_records
demo_shameless_community,Demo Shameless Community,reality tv villains,Tv Villains Reality Villains Reality Villains Villains Audience Fit,91.9,100.0,76.5,87.5,90.6,High,High,Sponsor safe,"Tv Villains Reality Villains Reality Villains Villains Audience Fit is derived from the 'reality tv villains' theme. It has 8 posts, engagement score 5.38, fit score 90.6, and brand-safety status 'Sponsor safe'.","Validate the 'reality tv villains' theme with source evidence, then pitch a small partnership test around these audience terms: tv villains reality, villains reality, villains, villains, reality tv.","tv villains reality, villains reality, villains, villains, reality tv","tv villains reality, villains reality, villains, villains, reality tv",8,5.375,8,4,1
demo_shameless_community,Demo Shameless Community,microtrend fatigue,Microtrend Fatigue Microtrend Fatigue Microtrend Fatigue Fatigue Audience Fit,74.2,91.1,94.0,100.0,87.1,High,High,Sponsor safe,"Microtrend Fatigue Microtrend Fatigue Microtrend Fatigue Fatigue Audience Fit is derived from the 'microtrend fatigue' theme. It has 8 posts, engagement score 4.12, fit score 87.1, and brand-safety status 'Sponsor safe'.","Validate the 'microtrend fatigue' theme with source evidence, then pitch a small partnership test around these audience terms: microtrend fatigue, microtrend fatigue, microtrend fatigue, fatigue, fatigue.","microtrend fatigue, microtrend fatigue, microtrend fatigue, fatigue, fatigue","microtrend fatigue, microtrend fatigue, microtrend fatigue, fatigue, fatigue",8,4.125,8,4,0
demo_shameless_community,Demo Shameless Community,comfort rewatches,Comfort Rewatches Comfort Rewatches Rewatches Rewatches Audience Fit,73.5,93.6,88.0,100.0,86.4,High,High,Sponsor safe,"Comfort Rewatches Comfort Rewatches Rewatches Rewatches Audience Fit is derived from the 'comfort rewatches' theme. It has 6 posts, engagement score 5.17, fit score 86.4, and brand-safety status 'Sponsor safe'.","Validate the 'comfort rewatches' theme with source evidence, then pitch a small partnership test around these audience terms: comfort rewatches, comfort rewatches, rewatches, rewatches, comfort.","comfort rewatches, comfort rewatches, rewatches, rewatches, comfort","comfort rewatches, comfort rewatches, rewatches, rewatches, comfort",6,5.166666666666666,6,3,0
demo_shameless_community,Demo Shameless Community,book to screen adaptations,Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit,66.8,87.5,82.0,100.0,81.0,High,High,Sponsor safe,"Book Screen Adaptations Adaptations Book Screen Adaptations Book Screen Adaptations Audience Fit is derived from the 'book to screen adaptations' theme. It has 5 posts, engagement score 4.4, fit score 81.0, and brand-safety status 'Sponsor safe'.","Validate the 'book to screen adaptations' theme with source evidence, then pitch a small partnership test around these audience terms: book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations.","book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations","book screen adaptations, adaptations book screen, adaptations book, screen adaptations, book, adaptations",5,4.4,5,2,0
demo_shameless_community,Demo Shameless Community,pr relationships,Pr Relationships Pr Relationships Relationships Pr Audience Fit,68.0,73.2,100.0,100.0,80.8,High,Medium,Sponsor safe,"Pr Relationships Pr Relationships Relationships Pr Audience Fit is derived from the 'pr relationships' theme. It has 6 posts, engagement score 3.5, fit score 80.8, and brand-safety status 'Sponsor safe'.","Validate the 'pr relationships' theme with source evidence, then pitch a small partnership test around these audience terms: pr relationships, pr relationships, relationships, pr.","pr relationships, pr relationships, relationships, pr","pr relationships, pr relationships, relationships, pr",6,3.5,6,5,0
demo_shameless_community,Demo Shameless Community,movie press tours,Movie Press Tours Press Tours Movie Press Tours Movie Audience Fit,63.4,84.6,68.0,100.0,76.2,High,High,Sponsor safe,"Movie Press Tours Press Tours Movie Press Tours Movie Audience Fit is derived from the 'movie press tours' theme. It has 5 posts, engagement score 4.6, fit score 76.2, and brand-safety status 'Sponsor safe'.","Validate the 'movie press tours' theme with source evidence, then pitch a small partnership test around these audience terms: movie press tours, press tours, movie press, tours movie, tours.","movie press tours, press tours, movie press, tours movie, tours","movie press tours, press tours, movie press, tours movie, tours",5,4.6,5,2,0
demo_shameless_community,Demo Shameless Community,celebrity side hustles,Celebrity Hustles Circling Celebrity Hustles Hustles Celebrity Hustles Hustles Audience Fit,63.8,73.4,82.0,100.0,75.8,High,Low,Sponsor safe,"Celebrity Hustles Circling Celebrity Hustles Hustles Celebrity Hustles Hustles Audience Fit is derived from the 'celebrity side hustles' theme. It has 2 posts, engagement score 7.0, fit score 75.8, and brand-safety status 'Sponsor safe'.","Validate the 'celebrity side hustles' theme with source evidence, then pitch a small partnership test around these audience terms: celebrity hustles, circling celebrity hustles, hustles celebrity hustles, hustles, celebrity.","celebrity hustles, circling celebrity hustles, hustles celebrity hustles, hustles, celebrity","celebrity hustles, circling celebrity hustles, hustles celebrity hustles, hustles, celebrity",2,7.0,2,2,0
demo_shameless_community,Demo Shameless Community,nepo baby,Nepo Baby Nepo Baby Nepo Baby Nepo Baby Audience Fit,58.0,69.7,88.0,100.0,73.8,High,Medium,Sponsor safe,"Nepo Baby Nepo Baby Nepo Baby Nepo Baby Audience Fit is derived from the 'nepo baby' theme. It has 5 posts, engagement score 3.8, fit score 73.8, and brand-safety status 'Sponsor safe'.","Validate the 'nepo baby' theme with source evidence, then pitch a small partnership test around these audience terms: nepo baby, nepo baby, nepo baby nepo, baby, nepo.","nepo baby, nepo baby, nepo baby nepo, baby, nepo","nepo baby, nepo baby, nepo baby nepo, baby, nepo",5,3.8000000000000003,5,3,0
demo_shameless_community,Demo Shameless Community,award season,Award Season Season Award Season Award Season Audience Fit,59.8,70.0,82.0,100.0,73.3,High,Low,Sponsor safe,"Award Season Season Award Season Award Season Audience Fit is derived from the 'award season' theme. It has 2 posts, engagement score 6.5, fit score 73.3, and brand-safety status 'Sponsor safe'.","Validate the 'award season' theme with source evidence, then pitch a small partnership test around these audience terms: award season, season, award season, award season.","award season, season, award season, award season","award season, season, award season, award season",2,6.5,2,2,0
demo_shameless_community,Demo Shameless Community,internet overexposure,Internet Overexposure Internet Overexposure Internet Overexposure Internet Overexposure Audience Fit,48.9,66.3,82.0,100.0,68.4,Medium,Medium,Sponsor safe,"Internet Overexposure Internet Overexposure Internet Overexposure Internet Overexposure Audience Fit is derived from the 'internet overexposure' theme. It has 4 posts, engagement score 4.0, fit score 68.4, and brand-safety status 'Sponsor safe'.","Validate the 'internet overexposure' theme with source evidence, then pitch a small partnership test around these audience terms: internet overexposure, internet overexposure, internet overexposure, internet overexposure, internet, circling internet.","internet overexposure, internet overexposure, internet overexposure, internet overexposure, internet, circling internet","internet overexposure, internet overexposure, internet overexposure, internet overexposure, internet, circling internet",4,4.0,4,2,0
