community_id,community_name,theme_label,current_period_records,previous_period_records,current_period_engagement,previous_period_engagement,record_change,record_change_pct,engagement_change,momentum_label
demo_shameless_community,Demo Shameless Community,nepo baby,3,0,12,0,3,100.0,12,Rising
demo_shameless_community,Demo Shameless Community,parasocial friendship,3,0,3,0,3,100.0,3,Rising
demo_shameless_community,Demo Shameless Community,movie press tours,3,1,18,1,2,200.0,17,Rising
demo_shameless_community,Demo Shameless Community,book to screen adaptations,3,1,10,10,2,200.0,0,Rising
demo_shameless_community,Demo Shameless Community,reality tv villains,3,2,12,13,1,50.0,-1,Rising
demo_shameless_community,Demo Shameless Community,sad girl pop,3,2,12,9,1,50.0,3,Rising
demo_shameless_community,Demo Shameless Community,microtrend fatigue,3,3,10,11,0,0.0,-1,Stable
demo_shameless_community,Demo Shameless Community,cancelled tours,2,0,6,0,2,100.0,6,Rising
demo_shameless_community,Demo Shameless Community,comfort rewatches,2,3,5,17,-1,-33.3,-12,Stable
demo_shameless_community,Demo Shameless Community,poll you like guest more,1,0,5,0,1,100.0,5,Rising
demo_shameless_community,Demo Shameless Community,have redemption arcs,1,0,4,0,1,100.0,4,Rising
demo_shameless_community,Demo Shameless Community,the fame fatigue chat,1,0,4,0,1,100.0,4,Rising
demo_shameless_community,Demo Shameless Community,would you shameless live listen melbourne,1,0,3,0,1,100.0,3,Rising
demo_shameless_community,Demo Shameless Community,long read the celebrity memoir boom,1,0,2,0,1,100.0,2,Rising
demo_shameless_community,Demo Shameless Community,smartest dumb watch,1,0,2,0,1,100.0,2,Rising
demo_shameless_community,Demo Shameless Community,what's your comfort rewatch,1,0,2,0,1,100.0,2,Rising
demo_shameless_community,Demo Shameless Community,pr relationships,1,2,7,5,-1,-50.0,2,Falling
demo_shameless_community,Demo Shameless Community,internet overexposure,1,2,5,7,-1,-50.0,-2,Falling
demo_shameless_community,Demo Shameless Community,messy celeb interviews,1,2,3,4,-1,-50.0,-1,Falling
demo_shameless_community,Demo Shameless Community,girlboss backlash,1,2,2,6,-1,-50.0,-4,Falling
demo_shameless_community,Demo Shameless Community,award season,0,1,0,9,-1,-100.0,-9,Falling
demo_shameless_community,Demo Shameless Community,brand founder scandals,0,1,0,6,-1,-100.0,-6,Falling
demo_shameless_community,Demo Shameless Community,celebrity memoirs,0,1,0,3,-1,-100.0,-3,Falling
demo_shameless_community,Demo Shameless Community,guest,0,1,0,4,-1,-100.0,-4,Falling
demo_shameless_community,Demo Shameless Community,redemption arcs,0,1,0,4,-1,-100.0,-4,Falling
demo_shameless_community,Demo Shameless Community,tabloid ethics,0,1,0,7,-1,-100.0,-7,Falling
demo_shameless_community,Demo Shameless Community,wellness rebrands,0,1,0,5,-1,-100.0,-5,Falling
