community_id,community_name,segment_type,segment_value,theme_label,record_count,total_engagement,positive_rate,insight_text
demo_shameless_community,Demo Shameless Community,gender,female,pr relationships,5,17,0.8,"In Demo Shameless Community, the female gender segment is active around 'pr relationships', with 5 posts and 17 engagement actions."
demo_shameless_community,Demo Shameless Community,gender,female,reality tv villains,4,21,0.75,"In Demo Shameless Community, the female gender segment is active around 'reality tv villains', with 4 posts and 21 engagement actions."
demo_shameless_community,Demo Shameless Community,gender,non_binary,microtrend fatigue,4,13,1.0,"In Demo Shameless Community, the non_binary gender segment is active around 'microtrend fatigue', with 4 posts and 13 engagement actions."
demo_shameless_community,Demo Shameless Community,industry,Government,microtrend fatigue,3,15,0.667,"In Demo Shameless Community, the Government industry segment is active around 'microtrend fatigue', with 3 posts and 15 engagement actions."
demo_shameless_community,Demo Shameless Community,gender,female,comfort rewatches,3,15,0.0,"In Demo Shameless Community, the female gender segment is active around 'comfort rewatches', with 3 posts and 15 engagement actions."
demo_shameless_community,Demo Shameless Community,city,London,nepo baby,3,12,0.667,"In Demo Shameless Community, the London city segment is active around 'nepo baby', with 3 posts and 12 engagement actions."
demo_shameless_community,Demo Shameless Community,city,Melbourne,microtrend fatigue,3,10,1.0,"In Demo Shameless Community, the Melbourne city segment is active around 'microtrend fatigue', with 3 posts and 10 engagement actions."
demo_shameless_community,Demo Shameless Community,city,Wellington,pr relationships,3,10,0.667,"In Demo Shameless Community, the Wellington city segment is active around 'pr relationships', with 3 posts and 10 engagement actions."
demo_shameless_community,Demo Shameless Community,industry,Advertising,pr relationships,3,10,0.667,"In Demo Shameless Community, the Advertising industry segment is active around 'pr relationships', with 3 posts and 10 engagement actions."
demo_shameless_community,Demo Shameless Community,gender,female,nepo baby,3,10,1.0,"In Demo Shameless Community, the female gender segment is active around 'nepo baby', with 3 posts and 10 engagement actions."
demo_shameless_community,Demo Shameless Community,gender,non_binary,sad girl pop,3,8,0.0,"In Demo Shameless Community, the non_binary gender segment is active around 'sad girl pop', with 3 posts and 8 engagement actions."
demo_shameless_community,Demo Shameless Community,industry,Technology,reality tv villains,2,17,0.5,"In Demo Shameless Community, the Technology industry segment is active around 'reality tv villains', with 2 posts and 17 engagement actions."
demo_shameless_community,Demo Shameless Community,gender,female,book to screen adaptations,2,16,1.0,"In Demo Shameless Community, the female gender segment is active around 'book to screen adaptations', with 2 posts and 16 engagement actions."
demo_shameless_community,Demo Shameless Community,city,London,celebrity side hustles,2,14,0.5,"In Demo Shameless Community, the London city segment is active around 'celebrity side hustles', with 2 posts and 14 engagement actions."
demo_shameless_community,Demo Shameless Community,industry,Legal,celebrity side hustles,2,14,0.5,"In Demo Shameless Community, the Legal industry segment is active around 'celebrity side hustles', with 2 posts and 14 engagement actions."
demo_shameless_community,Demo Shameless Community,industry,Technology,comfort rewatches,2,14,0.0,"In Demo Shameless Community, the Technology industry segment is active around 'comfort rewatches', with 2 posts and 14 engagement actions."
demo_shameless_community,Demo Shameless Community,gender,male,celebrity side hustles,2,14,0.5,"In Demo Shameless Community, the male gender segment is active around 'celebrity side hustles', with 2 posts and 14 engagement actions."
demo_shameless_community,Demo Shameless Community,city,London,reality tv villains,2,13,0.0,"In Demo Shameless Community, the London city segment is active around 'reality tv villains', with 2 posts and 13 engagement actions."
demo_shameless_community,Demo Shameless Community,industry,Healthcare,movie press tours,2,13,0.5,"In Demo Shameless Community, the Healthcare industry segment is active around 'movie press tours', with 2 posts and 13 engagement actions."
demo_shameless_community,Demo Shameless Community,industry,Legal,reality tv villains,2,13,0.0,"In Demo Shameless Community, the Legal industry segment is active around 'reality tv villains', with 2 posts and 13 engagement actions."
demo_shameless_community,Demo Shameless Community,gender,female,award season,2,13,0.5,"In Demo Shameless Community, the female gender segment is active around 'award season', with 2 posts and 13 engagement actions."
demo_shameless_community,Demo Shameless Community,gender,male,reality tv villains,2,13,0.0,"In Demo Shameless Community, the male gender segment is active around 'reality tv villains', with 2 posts and 13 engagement actions."
demo_shameless_community,Demo Shameless Community,city,London,book to screen adaptations,2,12,1.0,"In Demo Shameless Community, the London city segment is active around 'book to screen adaptations', with 2 posts and 12 engagement actions."
demo_shameless_community,Demo Shameless Community,gender,female,microtrend fatigue,2,12,0.5,"In Demo Shameless Community, the female gender segment is active around 'microtrend fatigue', with 2 posts and 12 engagement actions."
demo_shameless_community,Demo Shameless Community,gender,male,comfort rewatches,2,12,0.5,"In Demo Shameless Community, the male gender segment is active around 'comfort rewatches', with 2 posts and 12 engagement actions."
demo_shameless_community,Demo Shameless Community,city,Gold Coast,movie press tours,2,10,0.5,"In Demo Shameless Community, the Gold Coast city segment is active around 'movie press tours', with 2 posts and 10 engagement actions."
demo_shameless_community,Demo Shameless Community,city,Manchester,sad girl pop,2,9,0.0,"In Demo Shameless Community, the Manchester city segment is active around 'sad girl pop', with 2 posts and 9 engagement actions."
demo_shameless_community,Demo Shameless Community,industry,Healthcare,celebrity memoirs,2,9,0.0,"In Demo Shameless Community, the Healthcare industry segment is active around 'celebrity memoirs', with 2 posts and 9 engagement actions."
demo_shameless_community,Demo Shameless Community,industry,Legal,nepo baby,2,9,0.5,"In Demo Shameless Community, the Legal industry segment is active around 'nepo baby', with 2 posts and 9 engagement actions."
demo_shameless_community,Demo Shameless Community,gender,female,movie press tours,2,9,0.5,"In Demo Shameless Community, the female gender segment is active around 'movie press tours', with 2 posts and 9 engagement actions."
