community_id,community_name,theme_label,post_count,avg_post_likes,avg_comments,total_post_likes,total_comments,engagement_score,positive,neutral,negative,positive_rate,negative_rate,host_takeaway
demo_shameless_community,Demo Shameless Community,reality tv villains,8,2.75,2.625,22,21,5.375,6,1,1,0.75,0.125,reality tv villains is a recurring community theme with a mostly positive response. It may be worth exploring further in content or community prompts.
demo_shameless_community,Demo Shameless Community,microtrend fatigue,8,1.5,2.625,12,21,4.125,8,0,0,1.0,0.0,microtrend fatigue is a recurring community theme with a mostly positive response. It may be worth exploring further in content or community prompts.
demo_shameless_community,Demo Shameless Community,comfort rewatches,6,2.0,3.1666666666666665,12,19,5.166666666666666,6,0,0,1.0,0.0,comfort rewatches is a recurring community theme with a mostly positive response. It may be worth exploring further in content or community prompts.
demo_shameless_community,Demo Shameless Community,pr relationships,6,1.6666666666666667,1.8333333333333333,10,11,3.5,6,0,0,1.0,0.0,pr relationships is a recurring community theme with a mostly positive response. It may be worth exploring further in content or community prompts.
demo_shameless_community,Demo Shameless Community,movie press tours,5,1.6,3.0,8,15,4.6,4,1,0,0.8,0.0,movie press tours is a recurring community theme with a mostly positive response. It may be worth exploring further in content or community prompts.
demo_shameless_community,Demo Shameless Community,book to screen adaptations,5,1.8,2.6,9,13,4.4,5,0,0,1.0,0.0,book to screen adaptations is a recurring community theme with a mostly positive response. It may be worth exploring further in content or community prompts.
demo_shameless_community,Demo Shameless Community,sad girl pop,5,1.8,2.4,9,12,4.2,2,1,2,0.4,0.4,"sad girl pop is generating repeat discussion, but the tone is more mixed or critical. This may need careful framing."
demo_shameless_community,Demo Shameless Community,nepo baby,5,1.6,2.2,8,11,3.8000000000000003,5,0,0,1.0,0.0,nepo baby is a recurring community theme with a mostly positive response. It may be worth exploring further in content or community prompts.
demo_shameless_community,Demo Shameless Community,internet overexposure,4,3.0,1.0,12,4,4.0,4,0,0,1.0,0.0,internet overexposure is creating stronger engagement than average. It may be a useful area for deeper host attention.
demo_shameless_community,Demo Shameless Community,girlboss backlash,4,1.5,2.0,6,8,3.5,3,1,0,0.75,0.0,girlboss backlash is an active discussion area with moderate engagement. It is worth monitoring over time.
demo_shameless_community,Demo Shameless Community,messy celeb interviews,3,1.0,1.3333333333333333,3,4,2.333333333333333,2,0,1,0.667,0.333,messy celeb interviews is an active discussion area with moderate engagement. It is worth monitoring over time.
demo_shameless_community,Demo Shameless Community,cancelled tours,3,0.6666666666666666,1.3333333333333333,2,4,2.0,3,0,0,1.0,0.0,cancelled tours is an active discussion area with moderate engagement. It is worth monitoring over time.
demo_shameless_community,Demo Shameless Community,parasocial friendship,3,0.6666666666666666,0.3333333333333333,2,1,1.0,3,0,0,1.0,0.0,parasocial friendship is an active discussion area with moderate engagement. It is worth monitoring over time.
demo_shameless_community,Demo Shameless Community,celebrity side hustles,2,4.0,3.0,8,6,7.0,2,0,0,1.0,0.0,celebrity side hustles is creating stronger engagement than average. It may be a useful area for deeper host attention.
demo_shameless_community,Demo Shameless Community,award season,2,3.5,3.0,7,6,6.5,2,0,0,1.0,0.0,award season is creating stronger engagement than average. It may be a useful area for deeper host attention.
demo_shameless_community,Demo Shameless Community,celebrity memoirs,2,2.0,2.5,4,5,4.5,2,0,0,1.0,0.0,celebrity memoirs is creating stronger engagement than average. It may be a useful area for deeper host attention.
demo_shameless_community,Demo Shameless Community,guest,2,2.0,0.5,4,1,2.5,2,0,0,1.0,0.0,"guest is currently lower volume. It may be emerging, niche, or not yet a major community focus."
demo_shameless_community,Demo Shameless Community,tabloid ethics,1,2.0,5.0,2,5,7.0,1,0,0,1.0,0.0,tabloid ethics is creating stronger engagement than average. It may be a useful area for deeper host attention.
demo_shameless_community,Demo Shameless Community,brand founder scandals,1,3.0,3.0,3,3,6.0,1,0,0,1.0,0.0,brand founder scandals is creating stronger engagement than average. It may be a useful area for deeper host attention.
demo_shameless_community,Demo Shameless Community,poll you like guest more,1,3.0,2.0,3,2,5.0,1,0,0,1.0,0.0,poll you like guest more is creating stronger engagement than average. It may be a useful area for deeper host attention.
demo_shameless_community,Demo Shameless Community,wellness rebrands,1,2.0,3.0,2,3,5.0,1,0,0,1.0,0.0,wellness rebrands is creating stronger engagement than average. It may be a useful area for deeper host attention.
demo_shameless_community,Demo Shameless Community,have redemption arcs,1,2.0,2.0,2,2,4.0,1,0,0,1.0,0.0,have redemption arcs is creating stronger engagement than average. It may be a useful area for deeper host attention.
demo_shameless_community,Demo Shameless Community,redemption arcs,1,2.0,2.0,2,2,4.0,1,0,0,1.0,0.0,redemption arcs is creating stronger engagement than average. It may be a useful area for deeper host attention.
demo_shameless_community,Demo Shameless Community,the fame fatigue chat,1,1.0,3.0,1,3,4.0,1,0,0,1.0,0.0,the fame fatigue chat is creating stronger engagement than average. It may be a useful area for deeper host attention.
demo_shameless_community,Demo Shameless Community,would you shameless live listen melbourne,1,0.0,3.0,0,3,3.0,0,0,1,0.0,1.0,"would you shameless live listen melbourne is currently lower volume. It may be emerging, niche, or not yet a major community focus."
demo_shameless_community,Demo Shameless Community,long read the celebrity memoir boom,1,0.0,2.0,0,2,2.0,1,0,0,1.0,0.0,"long read the celebrity memoir boom is currently lower volume. It may be emerging, niche, or not yet a major community focus."
demo_shameless_community,Demo Shameless Community,smartest dumb watch,1,0.0,2.0,0,2,2.0,1,0,0,1.0,0.0,"smartest dumb watch is currently lower volume. It may be emerging, niche, or not yet a major community focus."
demo_shameless_community,Demo Shameless Community,what's your comfort rewatch,1,0.0,2.0,0,2,2.0,1,0,0,1.0,0.0,"what's your comfort rewatch is currently lower volume. It may be emerging, niche, or not yet a major community focus."
